model_name,inchi,smiles,excited,multiplicity,lumped,stereochemistry
TQC3H5OHIQ-P,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-6H,1H2",[CH2]C(C(O)OO)OO,0,0,0,1
C2H3COHOOH,"InChI=1S/C3H6O3/c1-2-3(4)6-5/h2-5H,1H2",C=CC(O)OO,0,0,0,1
COHOOHCY(COC),"InChI=1S/C3H6O4/c4-3(7-5)2-1-6-2/h2-5H,1H2",OC(C1OC1)OO,0,0,0,1
OHCY(COCC)OOH,"InChI=1S/C3H6O4/c4-3-2(7-5)1-6-3/h2-5H,1H2",OC1OCC1OO,0,0,0,1
TQC3H5OHTO2,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-4,6H,1H3",CC(C(O)OO)O[O],0,0,0,1
OHCOCOOHCH3,"InChI=1S/C3H6O4/c1-2(7-6)3(4)5/h2,6H,1H3,(H,4,5)",CC(C(O)=O)OO,0,0,0,1
IQC3H5OHPJO2,"InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3-5H,1-2H2",OC(COO)CO[O],0,0,0,1
IQC3H5OTQ-I,"InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3,5-6H,1-2H2",[O]C(COO)COO,0,0,0,1
IQC3H5OHQ-SJ,"InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h1,3-6H,2H2",OC([CH]OO)COO,0,0,0,1
CHOCOHCH2OOH,"InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h1,3,5-6H,2H2",O=CC(COO)O,0,0,0,1
CH3COCH2O2,"InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3",CC(CO[O])=O,0,0,0,1
CH2OHCHCHO,"InChI=1S/C3H5O2/c4-2-1-3-5/h1-2,5H,3H2",[O]C=CCO,0,0,0,1
CH3COHCO,"InChI=1S/C3H4O2/c1-3(5)2-4/h5H,1H3",CC(=C=O)O,0,0,0,1
CH2OHCH(OO)CHO,"InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h1,3,5H,2H2",O=CC(CO)O[O],0,0,0,1
